loc_rowid,pl_name,discoverymethod,disc_year,disc_facility,pl_orbper,pl_bmasse
1,11 Com b,Radial Velocity,2007,Xinglong Station,326.03,6165.6
2,11 Com b,Radial Velocity,2007,Xinglong Station,,5434.7
3,11 UMi b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,3432.4
4,11 UMi b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.22,3337.07
5,11 UMi b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,4684.8142
6,14 And b,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,1525.5
7,14 And b,Radial Velocity,2008,Okayama Astrophysical Observatory,,1017
8,14 Her b,Radial Velocity,2002,W. M. Keck Observatory,1796.4,1506.45
9,14 Her b,Radial Velocity,2002,W. M. Keck Observatory,,1440.663
10,14 Her b,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,1481.0878
11,14 Her b,Radial Velocity,2002,W. M. Keck Observatory,1773.4,1474.67
12,14 Her b,Radial Velocity,2002,W. M. Keck Observatory,1724,1554.12
13,14 Her b,Radial Velocity,2002,W. M. Keck Observatory,1766,1581.138
14,16 Cyg B b,Radial Velocity,1996,Multiple Observatories,800.8,476.7
15,16 Cyg B b,Radial Velocity,1996,Multiple Observatories,799.5,533.93
16,16 Cyg B b,Radial Velocity,1996,Multiple Observatories,798.5,533.9544
17,16 Cyg B b,Radial Velocity,1996,Multiple Observatories,799.5,533.93
18,16 Cyg B b,Radial Velocity,1996,Multiple Observatories,798.5,565.7374
19,18 Del b,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,3273.5
20,18 Del b,Radial Velocity,2008,Okayama Astrophysical Observatory,,3127.3
21,1RXS J160929.1-210524 b,Imaging,2008,Gemini Observatory,,2543
22,1RXS J160929.1-210524 b,Imaging,2008,Gemini Observatory,,3000
23,1RXS J160929.1-210524 b,Imaging,2008,Gemini Observatory,,4000
24,1RXS J160929.1-210524 b,Imaging,2008,Gemini Observatory,,3000
25,24 Boo b,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,289.2253
26,24 Sex b,Radial Velocity,2010,Lick Observatory,452.8,632.46
27,24 Sex c,Radial Velocity,2010,Lick Observatory,883,273.32
28,2MASS J01033563-5515561 AB b,Imaging,2013,Paranal Observatory,,4131.79
29,2MASS J01225093-2439505 b,Imaging,2013,W. M. Keck Observatory,,
30,2MASS J01225093-2439505 b,Imaging,2013,W. M. Keck Observatory,,7786.5
31,2MASS J02192210-3925225 b,Imaging,2015,Cerro Tololo Inter-American Observatory,,4417.837
32,2MASS J04414489+2301513 b,Imaging,2010,Hubble Space Telescope,,2383.6
33,2MASS J12073346-3932539 b,Imaging,2004,Paranal Observatory,,1589.15
34,2MASS J12073346-3932539 b,Imaging,2004,Paranal Observatory,,1271
35,2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,Kepler,416,603.877
36,2MASS J21402931+1625183 A b,Imaging,2009,W. M. Keck Observatory,7336.5,6657.48
37,2MASS J22362452+4751425 b,Imaging,2016,W. M. Keck Observatory,,3972.875
38,30 Ari B b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,4392.4106
39,30 Ari B b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,345.4,2097.678
40,30 Ari B b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.1,3140.03
41,4 UMa b,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,2256.5
42,42 Dra b,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,1233.13
43,47 UMa b,Radial Velocity,1996,Lick Observatory,1083.2,826.32
44,47 UMa b,Radial Velocity,1996,Lick Observatory,1100.8,877.17
45,47 UMa b,Radial Velocity,1996,Lick Observatory,1076.6,778.6835
46,47 UMa b,Radial Velocity,1996,Lick Observatory,1078,804.08
47,47 UMa c,Radial Velocity,2001,Lick Observatory,7586,425.87
48,47 UMa c,Radial Velocity,2001,Lick Observatory,2391,171.621
49,47 UMa d,Radial Velocity,2009,Lick Observatory,14002,521.22
50,51 Eri b,Imaging,2015,Gemini Observatory,11688,
51,51 Eri b,Imaging,2015,Gemini Observatory,14965,
52,51 Eri b,Imaging,2015,Gemini Observatory,,635.66
53,51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.2293,149.3801
54,51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.231,146.2018
55,51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.23077,148.738
56,51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.230785,150.009
57,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.648,266.9772
58,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.65152,263.9785
59,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.653,266.9772
60,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.65162,261.881
61,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.651,254.25
62,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.6,254.25
63,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.465314,266.966
64,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.67,249.17872
65,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.65126,260.61
66,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.647,289.21
67,55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.373,56.6985
68,55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.4175,54.4738
69,55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.3446,53.711
70,55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.3787,52.44
71,55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.38,52.44
72,55 Cnc c,Radial Velocity,2004,McDonald Observatory,43.93,68.96911
73,55 Cnc d,Radial Velocity,2002,Lick Observatory,4825,1232.493
74,55 Cnc d,Radial Velocity,2002,Lick Observatory,4517.4,1243.35096
75,55 Cnc d,Radial Velocity,2002,Lick Observatory,5360,1287.2115
76,55 Cnc d,Radial Velocity,2002,Lick Observatory,4867,1226.77
77,55 Cnc d,Radial Velocity,2002,Lick Observatory,4545,918.49
78,55 Cnc d,Radial Velocity,2002,Lick Observatory,5218,1218.827
79,55 Cnc d,Radial Velocity,2002,Lick Observatory,5370,1220.42
80,55 Cnc d,Radial Velocity,2002,Lick Observatory,4909,1121.89
81,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365437,7.81
82,55 Cnc e,Radial Velocity,2004,McDonald Observatory,2.79674,7.4687
83,55 Cnc e,Radial Velocity,2004,McDonald Observatory,2.808,14.30235
84,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.73654,8.63
85,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365515,8.13928
86,55 Cnc e,Radial Velocity,2004,McDonald Observatory,,8.08
87,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.737,7.74
88,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365417,
89,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.736546,8.37
90,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.736539,8.08
91,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365478,8.09479
92,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.736545,
93,55 Cnc f,Radial Velocity,2007,Multiple Observatories,260.91,47.0051
94,55 Cnc f,Radial Velocity,2007,Multiple Observatories,262,44.812
95,55 Cnc f,Radial Velocity,2007,Multiple Observatories,260,45.766
96,55 Cnc f,Radial Velocity,2007,Multiple Observatories,260.7,44.812
97,55 Cnc f,Radial Velocity,2007,Multiple Observatories,261.2,54.664
98,6 Lyn b,Radial Velocity,2008,Okayama Astrophysical Observatory,899,762.8
99,6 Lyn b,Radial Velocity,2008,Okayama Astrophysical Observatory,934.3,638.8383
100,6 Lyn b,Radial Velocity,2008,Okayama Astrophysical Observatory,874.774,702.4043
101,61 Vir b,Radial Velocity,2009,Multiple Observatories,4.215,5.1
102,61 Vir c,Radial Velocity,2009,Multiple Observatories,38.021,18.2
103,61 Vir d,Radial Velocity,2009,Multiple Observatories,123.01,22.9
104,7 CMa b,Radial Velocity,2011,Anglo-Australian Telescope,796,781.8618
105,7 CMa b,Radial Velocity,2011,Anglo-Australian Telescope,763,826.3
106,7 CMa b,Radial Velocity,2011,Anglo-Australian Telescope,735.1,587.9855
107,7 CMa c,Radial Velocity,2019,Multiple Observatories,996,276.5121
108,70 Vir b,Radial Velocity,1996,Lick Observatory,116.688,2357.02728
109,70 Vir b,Radial Velocity,1996,Lick Observatory,116.6884,2380.45
110,70 Vir b,Radial Velocity,1996,Lick Observatory,116.6926,2351.942
111,70 Vir b,Radial Velocity,1996,Lick Observatory,116.6884,2421.8646
112,70 Vir b,Radial Velocity,1996,Lick Observatory,116.689,2084.88
113,75 Cet b,Radial Velocity,2012,Okayama Astrophysical Observatory,691.9,953.49
114,8 UMi b,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,416.3573
115,8 UMi b,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,476.745
116,81 Cet b,Radial Velocity,2008,Okayama Astrophysical Observatory,,1274.4
117,81 Cet b,Radial Velocity,2008,Okayama Astrophysical Observatory,952.7,1684.4
118,91 Aqr b,Radial Velocity,2013,Lick Observatory,181.4,1017
119,AB Pic b,Imaging,2005,Paranal Observatory,,4290.5
120,AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321,57.2094
121,BD+03 2562 b,Radial Velocity,2017,Multiple Observatories,481.9,2034.112
122,BD+14 4559 b,Radial Velocity,2009,McDonald Observatory,268.94,467.19
123,BD+14 4559 b,Radial Velocity,2009,McDonald Observatory,268.94,330.5432
124,BD+15 2375 b,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,337.21763
125,BD+15 2940 b,Radial Velocity,2013,McDonald Observatory,137.48,352.78
126,BD+20 2457 b,Radial Velocity,2009,McDonald Observatory,379.63,6807.63
127,BD+20 2457 b,Radial Velocity,2009,McDonald Observatory,379.63,17668.1697
128,BD+20 2457 c,Radial Velocity,2009,McDonald Observatory,621.99,3963.17
129,BD+20 274 b,Radial Velocity,2012,McDonald Observatory,578.2,1334.886
130,BD+20 594 b,Transit,2016,K2,41.6855,16.3
131,BD+20 594 b,Transit,2016,K2,41.6855,22.2481
132,BD+20 594 b,Transit,2016,K2,41.688644,
133,BD+20 594 b,Transit,2016,K2,41.688644,
134,BD+48 738 b,Radial Velocity,2011,McDonald Observatory,392.6,289.2253
135,BD+48 740 b,Radial Velocity,2018,Multiple Observatories,733,540.311
136,BD+49 828 b,Radial Velocity,2015,McDonald Observatory,2590,508.5
137,BD-06 1339 b,Radial Velocity,2013,La Silla Observatory,3.8728,8.5
138,BD-06 1339 c,Radial Velocity,2013,La Silla Observatory,125.94,53
139,BD-08 2823 b,Radial Velocity,2009,La Silla Observatory,5.6,14.4
140,BD-08 2823 b,Radial Velocity,2009,La Silla Observatory,5.6,12.7132
141,BD-08 2823 c,Radial Velocity,2009,La Silla Observatory,237.6,104
142,BD-10 3166 b,Radial Velocity,2000,W. M. Keck Observatory,3.48777,145.56
143,BD-10 3166 b,Radial Velocity,2000,W. M. Keck Observatory,3.487,152.55
144,BD-10 3166 b,Radial Velocity,2000,W. M. Keck Observatory,3.48777,187.5197
145,BD-11 4672 b,Radial Velocity,2014,La Silla Observatory,1667,168.44
146,BD-11 4672 b,Radial Velocity,2014,La Silla Observatory,1634,206.5895
147,BD-11 4672 c,Radial Velocity,2020,Roque de los Muchachos Observatory,74.2,15.37
148,BD-13 2130 b,Radial Velocity,2007,La Silla Observatory,714.3,3368.998
149,BD-13 2130 b,Radial Velocity,2007,La Silla Observatory,714.29999,3108.3774
150,BD-17 63 b,Radial Velocity,2008,La Silla Observatory,655.59998,905.8155
151,BD-17 63 b,Radial Velocity,2008,La Silla Observatory,655.6,1620.9
152,CFBDSIR J145829+101343 b,Imaging,2011,W. M. Keck Observatory,10037.5,3337.1
153,CHXR 73 b,Imaging,2006,Hubble Space Telescope,,3994.486
154,CI Tau b,Radial Velocity,2019,Multiple Observatories,8.9891,3686.828
155,CT Cha b,Imaging,2007,Paranal Observatory,,5403
156,CoRoT-1 b,Transit,2008,CoRoT,1.50897655,340.0781
157,CoRoT-1 b,Transit,2008,CoRoT,1.5089686,327.3649
158,CoRoT-1 b,Transit,2008,CoRoT,1.5089682,390.9309
159,CoRoT-1 b,Transit,2008,CoRoT,1.5089557,359.1479
160,CoRoT-1 b,Transit,2008,CoRoT,1.5089557,327.35
161,CoRoT-10 b,Transit,2010,CoRoT,13.2406,883.5674
162,CoRoT-10 b,Transit,2010,CoRoT,13.2406,874
163,CoRoT-10 b,Transit,2010,CoRoT,13.2406,867.6759
164,CoRoT-11 b,Transit,2010,CoRoT,,
165,CoRoT-11 b,Transit,2010,CoRoT,2.994325,832.7146
166,CoRoT-11 b,Transit,2010,CoRoT,2.99433,740.51
167,CoRoT-11 b,Transit,2010,CoRoT,2.99433,743.7222
168,CoRoT-11 b,Transit,2010,CoRoT,2.994325,791.3967
169,CoRoT-12 b,Transit,2010,CoRoT,2.828042,281.91521
170,CoRoT-12 b,Transit,2010,CoRoT,2.828042,291.438
171,CoRoT-12 b,Transit,2010,CoRoT,2.82805268,277.46559
172,CoRoT-12 b,Transit,2010,CoRoT,2.828042,290.81445
173,CoRoT-13 b,Transit,2010,CoRoT,4.03519,423.03173
174,CoRoT-13 b,Transit,2010,CoRoT,4.03519,415.704
175,CoRoT-13 b,Transit,2010,CoRoT,4.03519,416.99296
176,CoRoT-14 b,Transit,2010,CoRoT,1.51214,2415.4
177,CoRoT-14 b,Transit,2010,CoRoT,1.51214,2358.2986
178,CoRoT-14 b,Transit,2010,CoRoT,1.51214,2437.7561
179,CoRoT-16 b,Transit,2011,CoRoT,5.35227,168.13207
180,CoRoT-16 b,Transit,2011,CoRoT,5.35227,170.032
181,CoRoT-17 b,Transit,2011,CoRoT,3.7681,765.9703
182,CoRoT-17 b,Transit,2011,CoRoT,3.7681,781.8618
183,CoRoT-17 b,Transit,2011,CoRoT,3.7681,772.29
184,CoRoT-18 b,Transit,2011,CoRoT,1.9000693,1099.6918
185,CoRoT-18 b,Transit,2011,CoRoT,1.9000693,1039.3041
186,CoRoT-18 b,Transit,2011,CoRoT,1.9000693,1102.82
187,CoRoT-18 b,Transit,2011,CoRoT,1.90009,1048.839
188,CoRoT-19 b,Transit,2011,CoRoT,3.89713,367.09365
189,CoRoT-19 b,Transit,2011,CoRoT,3.89713,346.4347
190,CoRoT-19 b,Transit,2011,CoRoT,3.89713,352.78
191,CoRoT-2 b,Transit,2008,CoRoT,1.7429935,1134.6531
192,CoRoT-2 b,Transit,2008,CoRoT,1.7429975,1052.0173
193,CoRoT-2 b,Transit,2008,CoRoT,1.7429935,1150.5446
194,CoRoT-2 b,Transit,2008,CoRoT,1.74299609,
195,CoRoT-2 b,Transit,2008,CoRoT,1.7429964,1051.973
196,CoRoT-2 b,Transit,2008,CoRoT,1.7429935,1102.82
197,CoRoT-2 b,Transit,2008,CoRoT,1.74299673,
198,CoRoT-2 b,Transit,2008,CoRoT,1.74299673,1048.839
199,CoRoT-20 b,Transit,2011,CoRoT,9.24285,1608.2198
200,CoRoT-20 b,Transit,2011,CoRoT,9.24285,1347.54
201,CoRoT-20 b,Transit,2011,CoRoT,9.24285,1344.4209
202,CoRoT-20 b,Transit,2011,CoRoT,9.24285,1366.669
203,CoRoT-20 b,Transit,2011,CoRoT,9.24318,1315.8162
204,CoRoT-20 c,Radial Velocity,2018,Multiple Observatories,1675,5403.11
205,CoRoT-21 b,Transit,2012,CoRoT,2.72474,718.2958
206,CoRoT-21 b,Transit,2012,CoRoT,2.72474,705.5826
207,CoRoT-22 b,Transit,2014,CoRoT,9.75598,12.2
208,CoRoT-23 b,Transit,2011,CoRoT,3.6313,982.0947
209,CoRoT-23 b,Transit,2011,CoRoT,3.6313,972.5598
210,CoRoT-23 b,Transit,2011,CoRoT,3.6313,889.9
211,CoRoT-24 b,Transit,2014,CoRoT,5.1134,5.7
212,CoRoT-24 c,Transit,2014,CoRoT,11.759,28
213,CoRoT-25 b,Transit,2013,CoRoT,4.86069,93.12419
214,CoRoT-25 b,Transit,2013,CoRoT,4.86069,85.81
215,CoRoT-26 b,Transit,2013,CoRoT,4.20474,165.26
216,CoRoT-26 b,Transit,2013,CoRoT,4.20474,184.3414
217,CoRoT-27 b,Transit,2014,CoRoT,3.57532,3302.11
218,CoRoT-27 b,Transit,2014,CoRoT,3.57532,3273.649
219,CoRoT-28 b,Transit,2015,CoRoT,5.20851,153.82972
220,CoRoT-28 b,Transit,2015,CoRoT,5.20851,152.87623
221,CoRoT-29 b,Transit,2015,CoRoT,2.85057,270.1555
222,CoRoT-29 b,Transit,2015,CoRoT,2.85057,266.9772
223,CoRoT-29 b,Transit,2015,CoRoT,2.8505615,
224,CoRoT-3 b,Transit,2008,CoRoT,4.2567994,6979.5468
225,CoRoT-3 b,Transit,2008,CoRoT,4.2567994,6747.5309
226,CoRoT-3 b,Transit,2008,CoRoT,4.2568,6883.91
227,CoRoT-3 b,Transit,2008,CoRoT,4.2567994,6814.2752
228,CoRoT-3 b,Transit,2008,CoRoT,,
229,CoRoT-30 b,Transit,2020,CoRoT,9.06005,921.707
230,CoRoT-31 b,Transit,2020,CoRoT,4.62941,266.9772
231,CoRoT-4 b,Transit,2008,CoRoT,9.20205,232.33373
232,CoRoT-4 b,Transit,2008,CoRoT,9.20205,228.83
233,CoRoT-4 b,Transit,2008,CoRoT,9.20205,223.43449
234,CoRoT-5 b,Transit,2009,CoRoT,4.0379156,145.88397
235,CoRoT-5 b,Transit,2009,CoRoT,4.0378962,149.3801
236,CoRoT-5 b,Transit,2009,CoRoT,4.0378962,151.92274
237,CoRoT-5 b,Transit,2009,CoRoT,4.0378962,148.42
238,CoRoT-6 b,Transit,2009,CoRoT,8.886593,937.5985
239,CoRoT-6 b,Transit,2009,CoRoT,8.886593,940.7768
240,CoRoT-6 b,Transit,2009,CoRoT,8.886593,940.74
241,CoRoT-7 b,Transit,2009,CoRoT,0.853585,4.8
242,CoRoT-7 b,Transit,2009,CoRoT,0.85359159,5.74
243,CoRoT-7 b,Transit,2009,CoRoT,0.853585,6.99226
244,CoRoT-7 b,Transit,2009,CoRoT,0.853585,21
245,CoRoT-7 b,Transit,2009,CoRoT,0.85359163,3.1783
246,CoRoT-7 b,Transit,2009,CoRoT,0.85359165,4.73
247,CoRoT-7 b,Transit,2009,CoRoT,0.854,4.6
248,CoRoT-7 c,Radial Velocity,2009,CoRoT,3.7,13.56
249,CoRoT-7 c,Radial Velocity,2009,CoRoT,3.698,8.4
250,CoRoT-8 b,Transit,2010,CoRoT,6.21229,68.65128
251,CoRoT-8 b,Transit,2010,CoRoT,6.212445,69.28694
252,CoRoT-8 b,Transit,2010,CoRoT,6.21229,69.92
253,CoRoT-8 b,Transit,2010,CoRoT,6.212381,69.28694
254,CoRoT-9 b,Transit,2009,CoRoT,95.272656,268.88418
255,CoRoT-9 b,Transit,2009,CoRoT,95.2738,266.97
256,CoRoT-9 b,Transit,2009,CoRoT,95.2738,262.52758
257,CoRoT-9 b,Transit,2009,CoRoT,95.272656,266.9772
258,CoRoTID 223977153 b,Transit,2017,CoRoT,6.71837,47.6745
259,DE CVn b,Eclipse Timing Variations,2018,Multiple Facilities,4098.1,3823.2733
260,DENIS-P J082303.1-491201 b,Astrometry,2013,Paranal Observatory,246.36,9057.77
261,DH Tau b,Imaging,2004,Subaru Telescope,,3496.13
262,DH Tau b,Imaging,2004,Subaru Telescope,,3496
263,DMPP-1 b,Radial Velocity,2019,La Silla Observatory,18.57,24.27
264,DMPP-1 c,Radial Velocity,2019,La Silla Observatory,6.584,9.6
265,DMPP-1 d,Radial Velocity,2019,La Silla Observatory,2.882,3.35
266,DMPP-1 e,Radial Velocity,2019,La Silla Observatory,5.516,4.13
267,DMPP-2 b,Radial Velocity,2019,Multiple Facilities,5.2072,138.89171
268,DMPP-3 A b,Radial Velocity,2019,La Silla Observatory,6.6736,2.58
269,DMPP-3 A b,Radial Velocity,2019,La Silla Observatory,6.6732,2.58
270,DP Leo b,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,10220,1922.79
271,DP Leo b,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,8693,1995.88832
272,DS Tuc A b,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),8.1387,413.179
273,DS Tuc A b,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),8.138268,
274,DS Tuc A b,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),8.1375,
275,EPIC 201238110 b,Transit,2019,K2,28.1656,
276,EPIC 201238110 b,Transit,2019,K2,28.1696,
277,EPIC 201497682 b,Transit,2019,K2,2.13174,
278,EPIC 201497682 b,Transit,2019,K2,3.883,
279,EPIC 201615463 c,Transit,2019,K2,3.80464,
280,EPIC 201754305 d,Transit,2019,K2,2.71578,
281,EPIC 201833600 c,Transit,2019,K2,3.96165,
282,EPIC 201833600 c,Transit,2019,K2,3.96151,
283,EPIC 201841433 b,Transit,2019,K2,4.16888,
284,EPIC 201841433 b,Transit,2019,K2,4.16959,
285,EPIC 205950854 c,Transit,2019,K2,8.050722,
286,EPIC 205950854 c,Transit,2019,K2,8.0516,
287,EPIC 205950854 c,Transit,2019,K2,8.0468,
288,EPIC 206024342 b,Transit,2019,K2,4.50717,
289,EPIC 206024342 b,Transit,2019,K2,4.50756,
290,EPIC 206032309 b,Transit,2019,K2,2.87814,
291,EPIC 206042996 b,Transit,2019,K2,5.29853,
292,EPIC 206042996 b,Transit,2019,K2,5.29711,
293,EPIC 206215704 b,Transit,2019,K2,2.25558,
294,EPIC 206215704 b,Transit,2019,K2,2.25372,
295,EPIC 206317286 b,Transit,2019,K2,1.58252,
296,EPIC 206317286 b,Transit,2019,K2,1.58316,
297,EPIC 211822797 b,Transit,2016,K2,21.17623917,
298,EPIC 211822797 b,Transit,2016,K2,21.169861,
299,EPIC 211822797 b,Transit,2016,K2,21.169687,
300,EPIC 211822797 b,Transit,2016,K2,21.1595,
301,EPIC 211822797 b,Transit,2016,K2,21.169619,
302,EPIC 211822797 b,Transit,2016,K2,21.1686,
303,EPIC 211822797 b,Transit,2016,K2,21.16987,
304,EPIC 211945201 b,Transit,2018,K2,19.492132,
305,EPIC 211945201 b,Transit,2018,K2,19.49183,
306,EPIC 211945201 b,Transit,2018,K2,19.49221,
307,EPIC 211945201 b,Transit,2018,K2,19.491795,
308,EPIC 211945201 b,Transit,2018,K2,19.50735025,
309,EPIC 211945201 b,Transit,2018,K2,19.491,
310,EPIC 211945201 b,Transit,2018,K2,19.49213,27
311,EPIC 211945201 b,Transit,2018,K2,19.491965,
312,EPIC 212297394 b,Transit,2019,K2,2.28943,
313,EPIC 212297394 b,Transit,2019,K2,2.28896,
314,EPIC 212424622 b,Transit,2019,K2,18.0971,
315,EPIC 212424622 b,Transit,2019,K2,18.0983,
316,EPIC 212499991 b,Transit,2019,K2,34.885,
317,EPIC 212587672 b,Transit,2019,K2,15.2841,
318,EPIC 212587672 b,Transit,2019,K2,15.2841,
319,EPIC 212737443 b,Transit,2019,K2,13.603,
320,EPIC 212737443 b,Transit,2019,K2,13.603,
321,EPIC 212737443 b,Transit,2019,K2,13.60697954,
322,EPIC 212737443 c,Transit,2019,K2,65.55,
323,EPIC 220554210 c,Transit,2019,K2,0.705386,
324,EPIC 220554210 c,Transit,2019,K2,0.70531,
325,EPIC 220674823 b,Transit,2016,K2,0.571285,
326,EPIC 220674823 b,Transit,2016,K2,0.571299,
327,EPIC 220674823 b,Transit,2016,K2,0.571331,
328,EPIC 220674823 b,Transit,2016,K2,0.571336,9
329,EPIC 220674823 b,Transit,2016,K2,0.571308,
330,EPIC 220674823 b,Transit,2016,K2,0.571292,8.36
331,EPIC 220674823 b,Transit,2016,K2,0.571,7.72
332,EPIC 220674823 b,Transit,2016,K2,0.571299,
333,EPIC 220674823 b,Transit,2016,K2,0.571336,
334,EPIC 220674823 c,Transit,2016,K2,13.339746,
335,EPIC 220674823 c,Transit,2016,K2,13.339079,
336,EPIC 220674823 c,Transit,2016,K2,13.3387,5.7
337,EPIC 220674823 c,Transit,2016,K2,13.339746,
338,EPIC 220674823 c,Transit,2016,K2,13.3397,5.8
339,EPIC 220674823 c,Transit,2016,K2,13.338687,
340,EPIC 220674823 c,Transit,2016,K2,13.341245,
341,EPIC 220674823 c,Transit,2016,K2,13.33877,
342,EPIC 246851721 b,Transit,2018,K2,6.180235,953.49
343,EPIC 248847494 b,Transit,2018,K2,3650,4131.79
344,EPIC 249893012 b,Transit,2020,K2,3.5951,8.75
345,EPIC 249893012 c,Transit,2020,K2,15.624,14.67
346,EPIC 249893012 d,Transit,2020,K2,35.747,10.18
347,FU Tau b,Imaging,2008,Spitzer Space Telescope,,5085.28
348,G 9-40 b,Transit,2019,K2,5.746007,
349,G 9-40 b,Transit,2019,K2,5.745912,
350,GJ 1061 b,Radial Velocity,2020,La Silla Observatory,3.204,1.37
351,GJ 1061 c,Radial Velocity,2020,La Silla Observatory,6.689,1.74
352,GJ 1061 d,Radial Velocity,2020,La Silla Observatory,13.031,1.64
353,GJ 1132 b,Transit,2015,Cerro Tololo Inter-American Observatory,1.6289287,1.63
354,GJ 1132 b,Transit,2015,Cerro Tololo Inter-American Observatory,,1.58
355,GJ 1132 b,Transit,2015,Cerro Tololo Inter-American Observatory,1.628931,1.66
356,GJ 1132 b,Transit,2015,Cerro Tololo Inter-American Observatory,1.62893,1.62
357,GJ 1132 c,Radial Velocity,2018,La Silla Observatory,8.929,2.64
358,GJ 1148 b,Radial Velocity,2010,W. M. Keck Observatory,41.38,96.7
359,GJ 1148 b,Radial Velocity,2010,W. M. Keck Observatory,41.397,94.7094
360,GJ 1148 c,Radial Velocity,2017,Calar Alto Observatory,532.58,68.06
361,GJ 1214 b,Transit,2009,MEarth Project,1.5803925,6.55
362,GJ 1214 b,Transit,2009,MEarth Project,1.58040835,
363,GJ 1214 b,Transit,2009,MEarth Project,1.5804043,
364,GJ 1214 b,Transit,2009,MEarth Project,1.58040481,
365,GJ 1214 b,Transit,2009,MEarth Project,1.58040482,6.43
366,GJ 1214 b,Transit,2009,MEarth Project,1.58040456,6.26125
367,GJ 1214 b,Transit,2009,MEarth Project,1.58040417,
368,GJ 1214 b,Transit,2009,MEarth Project,,
369,GJ 1214 b,Transit,2009,MEarth Project,1.58040481,
370,GJ 1214 b,Transit,2009,MEarth Project,1.58040487,6.37
371,GJ 1214 b,Transit,2009,MEarth Project,1.58040494,
372,GJ 1214 b,Transit,2009,MEarth Project,1.58040465,
373,GJ 1214 b,Transit,2009,MEarth Project,1.58040482,6.45
374,GJ 1214 b,Transit,2009,MEarth Project,1.5804049,
375,GJ 1252 b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.518224,
376,GJ 1252 b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.5182349,2.09
377,GJ 1265 b,Radial Velocity,2018,Calar Alto Observatory,3.6511,7.4
378,GJ 143 b,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),35.61253,22.7
379,GJ 143 b,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),35.589,30.63
380,GJ 143 b,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),,
381,GJ 15 A b,Radial Velocity,2014,W. M. Keck Observatory,11.4433,5.35
382,GJ 15 A b,Radial Velocity,2014,W. M. Keck Observatory,11.4407,3.03
383,GJ 15 A c,Radial Velocity,2018,Roque de los Muchachos Observatory,7600,36
384,GJ 160.2 b,Radial Velocity,2014,Multiple Observatories,5.2354,10.2
