|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
|4FGL J1813.5+2819 |18 13 34.1|+28 19 35|    4.1557e-10|          5.3350e-11|               10.5116|LogParabola     |3FGL J1813.6+2820  |                            |           000|
|4FGL J1813.7-1152 |18 13 47.4|-11 52 25|    1.3209e-09|          1.6939e-10|                8.2822|PowerLaw        |3FGL J1813.6-1148  |                            |           004|
|4FGL J1813.7-6846 |18 13 47.5|-68 46 43|    3.6350e-10|          4.0653e-11|               11.0418|PowerLaw        |3FGL J1813.6-6845  |                            |           000|
|4FGL J1814.2-1012 |18 14 14.8|-10 12 50|    4.1462e-10|          1.2093e-10|                5.8130|LogParabola     |                   |                            |          2048|
|4FGL J1814.2-3000 |18 14 17.4|-30 00 37|    4.8586e-10|          8.2685e-11|                6.3843|LogParabola     |                   |                            |           001|
|4FGL J1814.4+2429 |18 14 26.6|+24 29 24|    1.8151e-10|          4.2359e-11|                4.5836|PowerLaw        |                   |                            |           000|
|4FGL J1814.6-3621 |18 14 37.8|-36 21 51|    2.2326e-10|          5.0218e-11|                4.4494|PowerLaw        |                   |                            |           000|
|4FGL J1814.6-2537 |18 14 41.8|-25 37 17|    6.4420e-10|          1.0836e-10|                6.0190|LogParabola     |                   |                            |           008|
|4FGL J1814.7-3420 |18 14 45.7|-34 20 28|    7.7136e-10|          8.4873e-11|               11.5578|LogParabola     |                   |                            |           004|
|4FGL J1815.1+5917 |18 15 11.8|+59 17 56|    1.8666e-10|          3.3810e-11|                9.1219|LogParabola     |3FGL J1815.1+5919  |                            |           000|
|4FGL J1815.3-1336 |18 15 23.2|-13 36 19|    1.1363e-09|          1.8902e-10|                6.4205|LogParabola     |                   |                            |           024|
|4FGL J1815.8-1416 |18 15 53.0|-14 16 30|    1.8185e-09|          1.9943e-10|                9.7653|LogParabola     |                   |                            |           004|
|4FGL J1816.1-3908 |18 16 10.1|-39 08 19|    2.0937e-10|          4.7192e-11|                4.9325|PowerLaw        |                   |                            |           004|
|4FGL J1816.3-2903 |18 16 19.5|-29 03 09|    5.4113e-10|          9.2020e-11|                6.7548|LogParabola     |                   |                            |          2049|
|4FGL J1816.4-0057 |18 16 25.3|-00 57 23|    3.4468e-10|          8.0333e-11|                3.8933|PowerLaw        |                   |                            |          4096|
|4FGL J1816.4-2727 |18 16 25.5|-27 27 23|    7.5294e-10|          1.0904e-10|                7.9412|LogParabola     |3FGL J1816.2-2726  |                            |           000|
|4FGL J1816.4-6405 |18 16 27.6|-64 05 06|    5.2331e-10|          5.2625e-11|               13.5701|LogParabola     |3FGL J1816.0-6407  |                            |           000|
|4FGL J1816.5-1208c|18 16 31.9|-12 08 41|    8.2967e-10|          1.5322e-10|                5.5186|PowerLaw        |                   |                            |           032|
|4FGL J1816.7+1749 |18 16 45.0|+17 49 40|    5.8435e-10|          6.6175e-11|               11.5949|LogParabola     |                   |                            |           000|
|4FGL J1816.8-2800 |18 16 48.5|-28 00 59|    4.0022e-10|          9.6046e-11|                5.1961|LogParabola     |                   |                            |          2065|
|4FGL J1817.2-3035 |18 17 13.8|-30 35 03|    7.4663e-10|          7.2596e-11|               12.3003|PowerLaw        |3FGL J1817.3-3033  |                            |           000|
|4FGL J1817.5-1034 |18 17 34.3|-10 34 22|    8.3454e-10|          1.5681e-10|                5.2629|LogParabola     |                   |                            |           025|
|4FGL J1817.6-3251 |18 17 38.4|-32 51 21|    4.3797e-10|          8.4221e-11|                5.5429|LogParabola     |                   |                            |          2067|
|4FGL J1817.7-2517 |18 17 46.3|-25 17 17|    5.2655e-10|          9.5571e-11|                5.5580|LogParabola     |                   |                            |           008|
|4FGL J1817.9-3334 |18 17 55.2|-33 34 22|    8.8416e-10|          8.4389e-11|               13.3531|LogParabola     |                   |                            |           000|
|4FGL J1817.9-1135 |18 17 57.0|-11 35 48|    1.2409e-09|          1.7970e-10|                7.1617|LogParabola     |                   |                            |           008|
|4FGL J1818.0-1339c|18 18 04.5|-13 39 10|    1.7184e-09|          2.2752e-10|                7.9199|LogParabola     |                   |                            |           032|
|4FGL J1818.1-2000 |18 18 07.9|-20 00 58|    1.1380e-09|          1.5554e-10|                9.0677|LogParabola     |                   |                            |           000|
|4FGL J1818.3-1233 |18 18 18.6|-12 33 14|    6.2012e-10|          1.4483e-10|                4.6968|PowerLaw        |                   |                            |           024|
|4FGL J1818.5-2036 |18 18 33.3|-20 36 56|    5.3606e-10|          1.2526e-10|                4.2457|PowerLaw        |3FGL J1819.5-2045c |                            |           024|
|4FGL J1818.5+2533 |18 18 35.3|+25 33 24|    2.3773e-10|          4.4402e-11|                6.2119|PowerLaw        |3FGL J1817.7+2530  |                            |           000|
|4FGL J1818.6+1316 |18 18 36.6|+13 16 23|    6.8507e-10|          6.8459e-11|               13.6397|LogParabola     |3FGL J1818.5+1320  |                            |           000|
|4FGL J1818.6-3206 |18 18 40.6|-32 06 35|    6.8526e-10|          9.4039e-11|                8.2965|LogParabola     |                   |                            |           000|
|4FGL J1818.8-2255 |18 18 51.5|-22 55 18|    3.8314e-10|          8.3142e-11|                4.3457|PowerLaw        |                   |                            |           000|
|4FGL J1818.8-0828 |18 18 53.1|-08 28 00|    6.7927e-10|          1.1023e-10|                6.2882|PowerLaw        |                   |                            |           000|
|4FGL J1819.0-1203 |18 19 02.0|-12 03 43|    6.3253e-10|          1.4017e-10|                4.1467|PowerLaw        |                   |                            |           024|
|4FGL J1819.3-0935 |18 19 23.8|-09 35 20|    5.1677e-10|          1.1110e-10|                4.2779|PowerLaw        |                   |                            |           024|
|4FGL J1819.4-1102 |18 19 27.3|-11 02 11|    1.1218e-09|          1.7553e-10|                6.5650|LogParabola     |                   |                            |           025|
|4FGL J1819.9-1300 |18 19 54.9|-13 00 20|    8.8606e-10|          1.7856e-10|                4.2623|PowerLaw        |                   |                            |           016|
|4FGL J1819.9-2926 |18 19 57.6|-29 26 21|    6.2358e-10|          8.3620e-11|                8.8369|LogParabola     |                   |                            |           000|
|4FGL J1819.9-1530 |18 19 57.6|-15 30 10|    3.3186e-09|          4.0380e-10|                9.7860|LogParabola     |3FGL J1820.3-1529c |                            |          2064|
|4FGL J1820.3-2646 |18 20 22.8|-26 46 37|    3.1126e-10|          8.3980e-11|                5.2605|LogParabola     |                   |                            |           001|
|4FGL J1820.7-3217 |18 20 45.8|-32 17 27|    6.3028e-10|          8.8702e-11|                8.5646|LogParabola     |3FGL J1820.4-3217  |                            |           000|
|4FGL J1821.5-2531 |18 21 34.5|-25 31 38|    3.6345e-10|          7.4496e-11|                4.8311|PowerLaw        |                   |                            |           000|
|4FGL J1821.6+6636 |18 21 39.4|+66 36 33|    1.3304e-10|          2.5454e-11|                7.7979|PowerLaw        |3FGL J1821.9+6636  |                            |           000|
|4FGL J1822.0-3146 |18 22 00.8|-31 46 41|    2.4160e-10|          5.7049e-11|                4.4528|PowerLaw        |                   |                            |           000|
|4FGL J1822.6-2502 |18 22 39.2|-25 02 25|    5.2685e-10|          1.0605e-10|                4.7337|LogParabola     |                   |                            |           024|
|4FGL J1822.8-1118 |18 22 50.8|-11 18 46|    1.0505e-09|          1.6087e-10|                6.4174|PowerLaw        |                   |                            |           264|
|4FGL J1822.9-4718 |18 22 56.7|-47 18 17|    4.7019e-10|          5.5754e-11|               11.3133|LogParabola     |3FGL J1823.2-4722  |                            |           000|
|4FGL J1823.2+1209 |18 23 14.9|+12 09 26|    5.1411e-10|          7.4213e-11|                7.7602|LogParabola     |                   |                            |          2048|
|4FGL J1823.3-1340 |18 23 20.7|-13 40 03|    1.0302e-08|          4.5271e-10|               30.3309|LogParabola     |3FGL J1823.2-1339  |                            |           004|
|4FGL J1823.8-3544 |18 23 52.2|-35 44 25|    3.5524e-10|          6.1300e-11|                6.5140|LogParabola     |                   |                            |           000|
|4FGL J1824.2+1231 |18 24 15.5|+12 31 49|    3.0037e-10|          5.5238e-11|                5.9533|PowerLaw        |                   |                            |           017|
|4FGL J1824.2-0621 |18 24 16.3|-06 21 27|    1.8436e-09|          1.4181e-10|               22.3273|LogParabola     |3FGL J1824.3-0620  |                            |           000|
|4FGL J1824.2-5427 |18 24 16.9|-54 27 05|    6.5918e-10|          5.8734e-11|               15.9010|LogParabola     |3FGL J1824.2-5427  |                            |           000|
|4FGL J1824.7+2403 |18 24 44.9|+24 03 53|    2.3956e-10|          4.1222e-11|                6.6727|PowerLaw        |                   |                            |           000|
|4FGL J1825.9-3153 |18 25 55.6|-31 53 47|    3.3963e-10|          5.9128e-11|                5.7135|PowerLaw        |                   |                            |           000|
|4FGL J1825.9-5614 |18 25 58.9|-56 14 47|    2.0139e-10|          3.8756e-11|                5.8113|PowerLaw        |                   |                            |           000|
|4FGL J1826.2-2830 |18 26 16.8|-28 30 58|    3.9099e-10|          7.7409e-11|                5.7897|LogParabola     |                   |                            |           001|
|4FGL J1826.5-1202c|18 26 35.7|-12 02 54|    3.2821e-09|          4.0754e-10|                8.7917|LogParabola     |                   |                            |           052|
|4FGL J1827.2+4303 |18 27 15.1|+43 03 53|    1.3375e-10|          2.8294e-11|                5.3221|PowerLaw        |                   |                            |           000|
|4FGL J1827.5+1141 |18 27 30.9|+11 41 11|    1.0587e-09|          8.3413e-11|               17.6567|LogParabola     |3FGL J1827.7+1141  |                            |           000|
|4FGL J1828.1-1312 |18 28 06.6|-13 12 07|    1.8934e-09|          2.7329e-10|                6.6571|PowerLaw        |                   |                            |           024|
|4FGL J1828.2-3252 |18 28 13.5|-32 52 11|    3.1807e-10|          6.2055e-11|                6.0470|LogParabola     |                   |                            |           000|
|4FGL J1829.6-2545 |18 29 38.4|-25 45 18|    5.0722e-10|          8.7357e-11|                6.9882|LogParabola     |                   |                            |          2048|
|4FGL J1829.6-4310 |18 29 40.0|-43 10 33|    3.3323e-10|          5.6060e-11|                6.4802|LogParabola     |                   |                            |           001|
|4FGL J1830.0-1515c|18 30 05.0|-15 15 27|    3.1880e-10|          1.1514e-10|                4.1096|PowerLaw        |                   |                            |           034|
|4FGL J1830.1-0212c|18 30 06.3|-02 12 46|    1.6643e-09|          2.0886e-10|                8.3902|LogParabola     |3FGL J1829.9-0203c |                            |           044|
|4FGL J1830.1-1440 |18 30 08.5|-14 40 36|    3.9531e-10|          1.2709e-10|                4.3117|PowerLaw        |                   |                            |           006|
|4FGL J1830.3-1601 |18 30 21.0|-16 01 00|    5.3267e-11|          3.4240e-11|                4.3985|PowerLaw        |                   |                            |           000|
|4FGL J1830.7-1634 |18 30 42.3|-16 34 12|    2.0091e-09|          1.3680e-10|               19.4212|LogParabola     |3FGL J1830.7-1630  |                            |           000|
|4FGL J1830.7-3219 |18 30 47.4|-32 19 35|    2.9595e-10|          5.6423e-11|                5.1612|PowerLaw        |                   |                            |           000|
|4FGL J1830.8-3132 |18 30 48.8|-31 32 11|    8.0345e-10|          7.8704e-11|               13.6630|LogParabola     |3FGL J1830.8-3136  |                            |           000|
|4FGL J1831.1-6503 |18 31 06.6|-65 03 57|    6.9222e-10|          5.5883e-11|               18.0643|LogParabola     |3FGL J1831.6-6503  |                            |           000|
|4FGL J1831.2+0202 |18 31 16.3|+02 02 45|    3.9723e-10|          9.1389e-11|                4.3290|PowerLaw        |                   |                            |           008|
|4FGL J1831.6-0223c|18 31 39.2|-02 23 28|    1.3066e-09|          1.7276e-10|                7.9681|PowerLaw        |3FGL J1831.7-0230  |                            |           032|
|4FGL J1832.4-0152c|18 32 24.7|-01 52 34|    8.4425e-10|          1.4623e-10|                5.6907|PowerLaw        |                   |                            |           060|
|4FGL J1834.2-0827c|18 34 17.2|-08 27 31|    4.3536e-09|          5.5031e-10|                7.6976|LogParabola     |                   |                            |           048|
|4FGL J1834.3+0613 |18 34 18.2|+06 13 32|    7.4045e-10|          9.0535e-11|                9.1029|LogParabola     |                   |                            |           000|
|4FGL J1834.7-0724c|18 34 44.0|-07 24 47|    4.3806e-09|          4.6589e-10|                9.7327|LogParabola     |                   |                            |           048|
|4FGL J1834.9-0800 |18 34 58.5|-08 00 15|    4.3205e-09|          4.4432e-10|                9.8048|LogParabola     |                   |                            |           004|
|4FGL J1834.9-2819 |18 34 59.5|-28 19 01|    3.7681e-10|          6.0400e-11|                6.6682|PowerLaw        |                   |                            |           016|
|4FGL J1835.1-0517 |18 35 09.3|-05 17 52|    9.9717e-10|          1.9243e-10|                4.9812|LogParabola     |                   |                            |          2056|
|4FGL J1835.3-2439 |18 35 22.2|-24 39 33|    3.7521e-10|          6.3729e-11|                6.1478|PowerLaw        |                   |                            |           016|
|4FGL J1836.8-2354 |18 36 50.7|-23 54 24|    7.0876e-10|          8.6086e-11|                9.9310|LogParabola     |3FGL J1837.3-2403  |                            |           002|
|4FGL J1836.9+4439 |18 36 57.3|+44 39 37|    1.0005e-10|          2.8798e-11|                4.5701|PowerLaw        |                   |                            |           000|
|4FGL J1837.9-0620 |18 37 55.7|-06 20 51|    2.9692e-09|          5.0025e-10|                6.3717|LogParabola     |                   |                            |           016|
|4FGL J1838.0-0516 |18 38 03.1|-05 16 37|    1.0044e-09|          2.6449e-10|                2.9457|PowerLaw        |                   |                            |          4120|
|4FGL J1838.1-3352 |18 38 09.7|-33 52 08|    1.9297e-10|          4.5930e-11|                3.9234|PowerLaw        |                   |                            |          4096|
|4FGL J1838.2+3223 |18 38 16.6|+32 23 59|    2.8196e-10|          4.2710e-11|                7.6616|PowerLaw        |                   |                            |           016|
|4FGL J1838.4-0630c|18 38 24.6|-06 31 00|    1.3100e-09|          3.6361e-10|                3.8246|PowerLaw        |                   |                            |          4152|
|4FGL J1838.4-0545 |18 38 27.1|-05 45 45|    4.8622e-09|          7.4869e-10|                6.0430|LogParabola     |                   |                            |           016|
|4FGL J1838.5+3837 |18 38 33.7|+38 37 00|    1.4915e-10|          3.3774e-11|                5.4541|PowerLaw        |3FGL J1838.1+3827  |                            |           000|
|4FGL J1838.7-0601 |18 38 45.6|-06 01 08|    1.2844e-09|          4.1733e-10|                4.5704|PowerLaw        |                   |                            |           016|
|4FGL J1839.0-1502 |18 39 04.6|-15 02 55|    4.6751e-10|          7.7534e-11|                6.1254|PowerLaw        |                   |                            |           000|
|4FGL J1840.4-1705 |18 40 24.3|-17 05 35|    3.2709e-10|          7.0775e-11|                5.2934|PowerLaw        |                   |                            |           008|
|4FGL J1840.4-1139 |18 40 25.6|-11 39 04|    1.0537e-09|          1.3372e-10|                9.4000|LogParabola     |                   |                            |           000|
|4FGL J1841.3-4442 |18 41 21.3|-44 42 00|    1.1792e-10|          3.5206e-11|                2.9587|PowerLaw        |                   |                            |          4096|
|4FGL J1841.6+7113 |18 41 41.0|+71 13 38|    1.0446e-10|          2.4699e-11|                5.8131|PowerLaw        |                   |                            |           000|
|4FGL J1842.1+2737 |18 42 09.1|+27 37 29|    8.0803e-10|          6.9950e-11|               16.2809|LogParabola     |3FGL J1842.2+2742  |                            |           000|
|4FGL J1842.2-0328 |18 42 14.0|-03 28 57|    1.3874e-09|          2.7636e-10|                4.4484|PowerLaw        |                   |                            |           280|
|4FGL J1843.3-1242 |18 43 21.6|-12 42 47|    9.2301e-10|          1.1051e-10|                9.9319|LogParabola     |                   |                            |           000|
|4FGL J1843.7-0326 |18 43 43.5|-03 26 13|    1.9885e-09|          3.5018e-10|                5.5732|PowerLaw        |3FGL J1843.7-0322  |                            |           024|
|4FGL J1844.7-2110 |18 44 46.8|-21 10 54|    3.1232e-10|          6.0389e-11|                5.3010|PowerLaw        |                   |                            |           001|
|4FGL J1844.8-0957 |18 44 48.9|-09 57 15|    5.7885e-10|          9.2291e-11|                6.3877|PowerLaw        |                   |                            |           001|
|4FGL J1845.0+0159 |18 45 03.6|+01 59 49|    6.5727e-10|          1.1290e-10|                6.1504|LogParabola     |                   |                            |          2052|
|4FGL J1845.8-2521 |18 45 51.6|-25 21 31|    1.1155e-09|          8.9844e-11|               16.8697|LogParabola     |3FGL J1845.5-2524  |                            |           000|
|4FGL J1846.0+0507 |18 46 01.8|+05 07 40|    7.7592e-10|          1.1089e-10|                9.5266|LogParabola     |                   |                            |           000|
|4FGL J1846.9-0247c|18 46 57.5|-02 47 59|    3.1460e-09|          4.0661e-10|                7.6012|LogParabola     |2FGL J1847.2-0236  |                            |           056|
|4FGL J1847.0-0625 |18 47 02.4|-06 25 04|    7.7113e-10|          1.2394e-10|                6.8399|LogParabola     |                   |                            |           001|
|4FGL J1847.2-0141 |18 47 14.7|-01 41 33|    5.4031e-09|          5.1019e-10|               11.2549|LogParabola     |                   |                            |           020|
|4FGL J1847.2-0200c|18 47 17.8|-02 00 59|    1.8875e-09|          3.8034e-10|                4.9988|PowerLaw        |                   |                            |           060|
|4FGL J1847.7-0125 |18 47 44.9|-01 25 53|    1.0716e-09|          3.3809e-10|                4.0864|PowerLaw        |                   |                            |           000|
|4FGL J1847.7+3543 |18 47 46.1|+35 43 39|    8.2770e-11|          2.7303e-11|                4.1948|PowerLaw        |                   |                            |           000|
|4FGL J1847.7-3433 |18 47 46.2|-34 33 58|    3.4394e-10|          5.9372e-11|                6.5762|LogParabola     |                   |                            |           001|
|4FGL J1848.2-0016 |18 48 16.2|-00 16 15|    1.7806e-09|          2.5447e-10|                6.8863|LogParabola     |                   |                            |           284|
|4FGL J1848.7-6307 |18 48 42.9|-63 07 34|    7.5398e-11|          2.7549e-11|                4.1710|PowerLaw        |                   |                            |           000|
|4FGL J1849.0-1826 |18 49 05.4|-18 26 41|    2.5500e-10|          5.6232e-11|                4.4843|PowerLaw        |                   |                            |           000|
|4FGL J1849.4-0117 |18 49 25.8|-01 17 56|    1.9341e-09|          3.5158e-10|                5.6272|PowerLaw        |3FGL J1849.5-0124c |                            |           021|
|4FGL J1849.8-0952 |18 49 50.9|-09 52 54|    4.3050e-10|          1.0427e-10|                5.2096|LogParabola     |                   |                            |           025|
|4FGL J1850.2-0201 |18 50 17.6|-02 01 33|    1.1670e-09|          2.5105e-10|                5.2516|PowerLaw        |                   |                            |           284|
|4FGL J1850.7-3126 |18 50 44.7|-31 26 42|    3.5449e-10|          6.7948e-11|                7.2162|LogParabola     |                   |                            |           000|
|4FGL J1850.8-1105 |18 50 49.2|-11 05 18|    6.5191e-10|          1.0044e-10|                6.8893|LogParabola     |                   |                            |           001|
|4FGL J1851.0-3003 |18 51 03.6|-30 03 41|    2.2757e-10|          5.0829e-11|                4.6319|PowerLaw        |                   |                            |           004|
|4FGL J1851.5+0718 |18 51 33.1|+07 18 40|    1.2467e-09|          1.3869e-10|               10.2390|LogParabola     |                   |                            |           004|
|4FGL J1851.9-1522 |18 51 56.9|-15 22 21|    3.8936e-10|          8.7066e-11|                5.9062|LogParabola     |                   |                            |           001|
|4FGL J1852.6+0203 |18 52 39.3|+02 03 36|    2.2013e-09|          2.4262e-10|                9.4330|PowerLaw        |3FGL J1852.8+0158  |                            |           004|
|4FGL J1852.6-1159 |18 52 39.6|-11 59 13|    3.9491e-10|          7.5796e-11|                5.1385|PowerLaw        |                   |                            |           000|
|4FGL J1853.2-0922c|18 53 16.9|-09 22 52|    3.9537e-10|          7.0726e-11|                5.4306|PowerLaw        |                   |                            |           033|
|4FGL J1853.3-2447 |18 53 23.9|-24 47 50|    3.3810e-10|          5.9709e-11|                6.2255|PowerLaw        |                   |                            |           004|
|4FGL J1853.6-0620 |18 53 41.8|-06 20 46|    5.5226e-10|          8.5904e-11|                6.8746|PowerLaw        |                   |                            |           000|
|4FGL J1853.8-1107 |18 53 52.8|-11 07 24|    2.6928e-10|          6.8455e-11|                3.6411|PowerLaw        |                   |                            |          4120|
|4FGL J1854.3-3640 |18 54 23.6|-36 40 47|    2.0822e-10|          4.4111e-11|                4.9994|PowerLaw        |                   |                            |           000|
|4FGL J1854.7+0153 |18 54 46.8|+01 53 37|    4.9160e-09|          5.1168e-10|               11.9966|LogParabola     |                   |                            |           004|
|4FGL J1854.9+4054 |18 54 55.6|+40 54 14|    1.2132e-10|          3.0695e-11|                4.1538|PowerLaw        |                   |                            |           004|
|4FGL J1855.2+0756 |18 55 15.0|+07 56 49|    5.6490e-10|          1.7474e-10|                4.2224|PowerLaw        |3FGL J1855.6+0753  |                            |           004|
|4FGL J1855.2+0456 |18 55 15.8|+04 56 34|    2.0954e-09|          2.1445e-10|               11.2714|LogParabola     |3FGL J1855.4+0454  |                            |           004|
|4FGL J1855.3-0740 |18 55 19.4|-07 40 39|    5.9992e-10|          1.1506e-10|                7.5713|LogParabola     |                   |                            |          2049|
|4FGL J1855.6-3603 |18 55 39.6|-36 03 40|    3.8792e-10|          6.1500e-11|                7.1594|LogParabola     |                   |                            |           001|
|4FGL J1855.8+0150 |18 55 49.8|+01 50 36|    2.9971e-09|          5.5524e-10|                7.9813|LogParabola     |                   |                            |           004|
|4FGL J1856.1-1222 |18 56 07.9|-12 22 30|    5.4759e-10|          7.4826e-11|                8.8362|PowerLaw        |3FGL J1856.1-1217  |                            |           004|
|4FGL J1856.5+1735 |18 56 33.3|+17 36 00|    4.2706e-10|          6.0912e-11|                8.0703|PowerLaw        |                   |                            |           000|
|4FGL J1856.7+0125c|18 56 42.6|+01 25 39|    6.8278e-09|          9.4039e-10|                6.6476|LogParabola     |                   |                            |           052|
|4FGL J1857.1+0056 |18 57 11.7|+00 56 46|    4.0863e-09|          4.8689e-10|               11.2808|LogParabola     |3FGL J1857.2+0059  |                            |           004|
|4FGL J1857.4+0106 |18 57 25.9|+01 06 46|    2.3961e-09|          4.2167e-10|                8.8719|LogParabola     |                   |                            |          2064|
|4FGL J1857.8-3220 |18 57 49.4|-32 20 46|    3.3061e-10|          4.9548e-11|                7.8034|PowerLaw        |                   |                            |           000|
|4FGL J1858.0+0354 |18 58 04.5|+03 54 46|    5.7307e-09|          3.5403e-10|               18.7117|LogParabola     |3FGL J1857.9+0355  |                            |           004|
|4FGL J1858.0-1052 |18 58 04.7|-10 52 09|    3.6048e-10|          6.7044e-11|                5.1755|PowerLaw        |                   |                            |           008|
|4FGL J1858.3-5424 |18 58 18.2|-54 24 44|    7.0119e-10|          5.8656e-11|               17.4154|LogParabola     |3FGL J1858.0-5423  |                            |           000|
|4FGL J1858.3-1318 |18 58 19.0|-13 18 49|    5.3285e-10|          8.5582e-11|                7.0951|LogParabola     |                   |                            |           000|
|4FGL J1858.5-4446 |18 58 33.8|-44 46 18|    2.3726e-10|          3.8962e-11|                7.3513|PowerLaw        |                   |                            |           000|
|4FGL J1858.9+3636 |18 58 56.0|+36 36 51|    3.3155e-10|          4.9771e-11|                8.2432|LogParabola     |                   |                            |           000|
|4FGL J1859.2-0706 |18 59 12.1|-07 06 49|    5.8369e-10|          9.1976e-11|                6.9967|LogParabola     |                   |                            |           017|
|4FGL J1859.3+0058 |18 59 19.8|+00 58 48|    1.7242e-09|          2.3305e-10|                8.2684|PowerLaw        |3FGL J1859.6+0102  |                            |           000|
|4FGL J1859.8+1545 |18 59 54.0|+15 45 57|    2.2419e-10|          7.5646e-11|                3.3310|PowerLaw        |                   |                            |          4096|
|4FGL J1900.4-4941 |19 00 29.1|-49 41 11|    3.2335e-10|          4.8636e-11|                8.0471|LogParabola     |                   |                            |           000|
|4FGL J1900.4+0339 |19 00 29.8|+03 39 50|    4.3194e-09|          3.3531e-10|               14.4989|LogParabola     |3FGL J1900.8+0337  |                            |           004|
|4FGL J1900.7+0426 |19 00 46.1|+04 26 29|    4.1473e-09|          3.7787e-10|               11.5496|LogParabola     |2FGL J1901.1+0427  |                            |           020|
|4FGL J1900.9+0538 |19 00 54.2|+05 38 10|    2.1981e-09|          2.7948e-10|                8.1665|LogParabola     |                   |                            |           020|
|4FGL J1901.1+0730 |19 01 10.8|+07 30 17|    2.1737e-09|          2.0289e-10|               12.2977|LogParabola     |3FGL J1901.1+0728  |                            |           004|
|4FGL J1901.2-7307 |19 01 14.5|-73 07 14|    1.3446e-10|          3.2011e-11|                4.9736|PowerLaw        |                   |                            |           000|
|4FGL J1901.5-2208 |19 01 32.1|-22 08 03|    1.8770e-10|          4.6106e-11|                4.2936|PowerLaw        |                   |                            |           000|
|4FGL J1901.5-1112 |19 01 35.1|-11 12 01|    4.1852e-10|          7.2316e-11|                5.9464|PowerLaw        |                   |                            |           000|
|4FGL J1901.8-0718 |19 01 49.6|-07 18 16|    6.3480e-10|          9.2824e-11|                8.0482|LogParabola     |                   |                            |           000|
|4FGL J1902.2+0448 |19 02 17.4|+04 48 29|    3.9387e-09|          3.5980e-10|               11.4151|LogParabola     |                   |                            |           259|
|4FGL J1902.4-3417 |19 02 25.3|-34 17 50|    2.9493e-10|          5.6667e-11|                5.7789|LogParabola     |                   |                            |           001|
|4FGL J1902.5+0654 |19 02 34.5|+06 54 36|    2.2089e-09|          2.2785e-10|               11.5732|LogParabola     |3FGL J1902.6+0655  |                            |           000|
|4FGL J1902.7-3246 |19 02 47.1|-32 46 25|    1.8081e-10|          4.4694e-11|                3.8274|PowerLaw        |                   |                            |          4096|
|4FGL J1903.5-0825 |19 03 31.0|-08 25 08|    4.2087e-10|          7.6291e-10|                5.1316|LogParabola     |                   |                            |          2313|
|4FGL J1904.0-5925 |19 04 03.0|-59 25 53|    2.5821e-10|          4.4091e-11|                7.2040|LogParabola     |                   |                            |           000|
|4FGL J1904.4-1129 |19 04 27.5|-11 29 54|    4.1443e-10|          8.5783e-11|                4.9981|LogParabola     |                   |                            |           000|
|4FGL J1904.6-2713 |19 04 39.4|-27 13 25|    2.6828e-10|          5.2285e-11|                6.4426|PowerLaw        |1FGL J1904.4-2725  |                            |           000|
|4FGL J1904.7+0615 |19 04 44.1|+06 15 12|    1.7831e-09|          3.3997e-10|                5.1490|LogParabola     |                   |                            |           013|
|4FGL J1904.7-0708 |19 04 46.4|-07 08 14|    1.8159e-09|          1.1535e-10|               21.6128|LogParabola     |3FGL J1904.7-0708  |                            |           000|
|4FGL J1905.2-5120 |19 05 17.4|-51 20 52|    2.8587e-10|          4.7557e-11|                6.9548|PowerLaw        |                   |                            |           016|
|4FGL J1905.8+4942 |19 05 53.3|+49 42 38|    2.9084e-10|          4.2961e-11|                9.7825|LogParabola     |                   |                            |           000|
|4FGL J1906.0-1718 |19 06 04.5|-17 18 55|    4.3671e-10|          6.8561e-11|                7.4111|LogParabola     |                   |                            |           000|
|4FGL J1906.1+1651 |19 06 09.8|+16 51 53|    5.1485e-10|          8.4847e-11|                9.7774|LogParabola     |                   |                            |           000|
|4FGL J1906.4-2001 |19 06 26.4|-20 01 12|    2.9151e-10|          5.2580e-11|                6.2107|PowerLaw        |                   |                            |           000|
|4FGL J1906.4-1757 |19 06 26.6|-17 57 03|    5.6331e-10|          6.9598e-11|               10.1876|LogParabola     |                   |                            |           000|
|4FGL J1906.9+0712 |19 06 59.4|+07 12 59|    7.1769e-09|          6.0960e-10|               17.4054|LogParabola     |                   |                            |           000|
|4FGL J1907.0+3556 |19 07 02.3|+35 56 18|    1.8138e-10|          3.8085e-11|                5.0106|PowerLaw        |                   |                            |           000|
|4FGL J1907.7-4037 |19 07 46.2|-40 37 30|    1.9200e-10|          4.1440e-11|                5.2012|PowerLaw        |                   |                            |           001|
|4FGL J1908.7+0812 |19 08 44.3|+08 12 16|    3.7696e-09|          3.1164e-10|               13.4356|LogParabola     |                   |                            |           020|
|4FGL J1908.8-0131 |19 08 50.8|-01 31 51|    2.1574e-09|          1.3006e-10|               22.5615|LogParabola     |3FGL J1908.8-0130  |                            |           000|
|4FGL J1909.2+4646 |19 09 16.8|+46 46 36|    2.6756e-10|          4.1723e-11|                8.0439|LogParabola     |                   |                            |           000|
|4FGL J1910.1-4704 |19 10 09.7|-47 04 13|    1.9097e-10|          3.7632e-11|                6.3985|PowerLaw        |                   |                            |           000|
